年月日時,県,市,気温(℃),相対湿度(％),風速(m/s),風向,風向(°),降水量(mm),降水なし,雲量(10分比),日射量(MJ/㎡),現地気圧(hPa),日照時間(時間),日照現象なし,蒸気圧(hPa)
2024/1/1 1:00,愛知,名古屋,8.5,76,2.7,北北東,67.5,0,1,,0,1004.8,0,1,8.4
2024/1/1 2:00,愛知,名古屋,8.4,73,2.1,西北西,157.5,0,1,,0,1006.5,0,1,8
2024/1/1 3:00,愛知,名古屋,8.3,68,2,北北東,67.5,0,1,0,0,1007.6,0,1,7.4
2024/1/1 4:00,愛知,名古屋,7.3,74,4,北北西,112.5,0,1,,0,1008.7,0,1,7.6
2024/1/1 5:00,愛知,名古屋,6.6,76,3,北,90,0,1,,0,1009.9,0,1,7.4
2024/1/1 6:00,愛知,名古屋,6.9,71,2.8,北北西,112.5,0,1,0,0,1011.4,0,1,7.1
2024/1/1 7:00,愛知,名古屋,5.5,78,2.1,北北西,112.5,0,1,,0,1012.7,0,1,7
2024/1/1 8:00,愛知,名古屋,7,66,3.2,北北西,112.5,0,1,,0.22,1013.6,0.8,0,6.6
2024/1/1 9:00,愛知,名古屋,8.5,61,4.1,北北西,112.5,0,1,0+,0.82,1014.5,1,0,6.8
2024/1/1 10:00,愛知,名古屋,10.1,50,7,北北西,112.5,0,1,,1.41,1014.6,1,0,6.2
2024/1/1 11:00,愛知,名古屋,10.8,44,6,北北西,112.5,0,1,,1.84,1014.7,0.9,0,5.7
2024/1/1 12:00,愛知,名古屋,11.8,42,5.9,北北西,112.5,0,1,0+,2.05,1014.2,1,0,5.8
2024/1/1 13:00,愛知,名古屋,12,41,4.5,北北西,112.5,0,1,,2.03,1014.1,1,0,5.8
2024/1/1 14:00,愛知,名古屋,12.5,38,5.2,北西,135,0,1,,1.8,1014.1,1,0,5.5
2024/1/1 15:00,愛知,名古屋,12,39,5.6,北北西,112.5,0,1,0+,1.35,1014.1,1,0,5.5
2024/1/1 16:00,愛知,名古屋,11.2,35,4.3,北,90,0,1,,0.74,1015,1,0,4.7
2024/1/1 17:00,愛知,名古屋,10,41,4.1,北,90,0,1,,0.16,1015.9,0.6,0,5
2024/1/1 18:00,愛知,名古屋,8.3,50,4.8,北西,135,0,1,0+,0,1016.8,0,1,5.5
2024/1/1 19:00,愛知,名古屋,7.2,55,3.6,北北西,112.5,0,1,,0,1017.2,0,1,5.6
2024/1/1 20:00,愛知,名古屋,6.4,59,2.5,北北西,112.5,0,1,,0,1017.6,0,1,5.7
2024/1/1 21:00,愛知,名古屋,6.2,56,2.9,北北西,112.5,0,1,2,0,1017.7,0,1,5.3
2024/1/1 22:00,愛知,名古屋,6,60,2.6,北北西,112.5,0,1,,0,1018,0,1,5.6
2024/1/1 23:00,愛知,名古屋,5.6,63,2.9,北北西,112.5,0,1,,0,1018,0,1,5.7
2024/1/2 0:00,愛知,名古屋,5.6,63,2.1,北,90,0,1,,0,1017.9,0,1,5.7
2024/1/2 1:00,愛知,名古屋,5.8,62,2.7,北,90,0,1,,0,1017.7,0,1,5.7
2024/1/2 2:00,愛知,名古屋,5.8,62,2.5,北,90,0,1,,0,1018,0,1,5.7
2024/1/2 3:00,愛知,名古屋,5.8,65,1.5,北北西,112.5,0,1,10-,0,1017.8,0,1,6
2024/1/2 4:00,愛知,名古屋,5.7,64,1.4,北西,135,0,1,,0,1017.6,0,1,5.9
2024/1/2 5:00,愛知,名古屋,5.6,68,2.7,北,90,0,1,,0,1016.8,0,1,6.2
2024/1/2 6:00,愛知,名古屋,5.8,70,0.8,北北東,67.5,0,1,10,0,1017,0,1,6.5
2024/1/2 7:00,愛知,名古屋,6,72,0.4,北北東,67.5,0,0,,0,1016.9,0,1,6.7
2024/1/2 8:00,愛知,名古屋,6.3,71,0.6,北西,135,0,1,,0.08,1016.7,0,0,6.8
2024/1/2 9:00,愛知,名古屋,6.7,70,1.3,北,90,0,1,9,0.3,1016.9,0,0,6.9
2024/1/2 10:00,愛知,名古屋,7.1,68,1.9,北,90,0,1,,0.6,1016.3,0.1,0,6.9
2024/1/2 11:00,愛知,名古屋,9.3,59,1.6,北北東,67.5,0,1,,1.72,1015.1,0.9,0,6.9
2024/1/2 12:00,愛知,名古屋,11.9,50,1.8,北西,135,0,1,1,2.06,1013.9,1,0,7
2024/1/2 13:00,愛知,名古屋,12.4,43,0.9,北西,135,0,1,,2.04,1012.7,1,0,6.2
2024/1/2 14:00,愛知,名古屋,12.3,39,1.9,西北西,157.5,0,1,,1.79,1011.9,1,0,5.6
2024/1/2 15:00,愛知,名古屋,12.5,44,2.4,北北西,112.5,0,1,0+,1.34,1011.7,1,0,6.4
2024/1/2 16:00,愛知,名古屋,12.1,46,3.2,北西,135,0,1,,0.73,1011.7,1,0,6.5
2024/1/2 17:00,愛知,名古屋,10.5,51,3.3,西北西,157.5,0,1,,0.16,1011.8,0.7,0,6.5
2024/1/2 18:00,愛知,名古屋,9.6,48,3.6,西北西,157.5,0,1,0,0,1011.8,0,1,5.7
2024/1/2 19:00,愛知,名古屋,8.6,54,3.1,北西,135,0,1,,0,1012.3,0,1,6
2024/1/2 20:00,愛知,名古屋,7.9,59,2.1,北北西,112.5,0,1,,0,1012.1,0,1,6.3
2024/1/2 21:00,愛知,名古屋,7.2,64,1.8,北,90,0,1,0,0,1012.2,0,1,6.5
2024/1/2 22:00,愛知,名古屋,6.4,66,1.6,北,90,0,1,,0,1012,0,1,6.3
2024/1/2 23:00,愛知,名古屋,6.1,69,1.1,北西,135,0,1,,0,1012,0,1,6.5
2024/1/3 0:00,愛知,名古屋,5.4,76,1.5,北,90,0,1,,0,1011.4,0,1,6.8
2024/1/3 1:00,愛知,名古屋,5.2,74,2.2,北北東,67.5,0,1,,0,1011.2,0,1,6.5
2024/1/3 2:00,愛知,名古屋,4.9,77,2.3,北北東,67.5,0,1,,0,1011,0,1,6.7
2024/1/3 3:00,愛知,名古屋,5,76,2.1,北北東,67.5,0,1,0+,0,1010.2,0,1,6.6
2024/1/3 4:00,愛知,名古屋,4.6,79,1.5,北,90,0,1,,0,1009.5,0,1,6.7
2024/1/3 5:00,愛知,名古屋,4.6,79,2.1,北,90,0,1,,0,1009.7,0,1,6.7
2024/1/3 6:00,愛知,名古屋,4.5,79,1.1,北東,45,0,1,9,0,1010.1,0,1,6.7
2024/1/3 7:00,愛知,名古屋,4.2,83,1.7,東北東,22.5,0,1,,0,1010.4,0,1,6.8
2024/1/3 8:00,愛知,名古屋,5.1,77,1.4,北北東,67.5,0,1,,0.08,1010.2,0,0,6.8
2024/1/3 9:00,愛知,名古屋,6,74,1.7,東北東,22.5,0,1,10-,0.39,1010.4,0.1,0,6.9
2024/1/3 10:00,愛知,名古屋,8.7,62,1.6,南西,225,0,1,,0.98,1010.2,0.6,0,7
2024/1/3 11:00,愛知,名古屋,9.4,59,1.6,北西,135,0,1,,0.99,1009.9,0.3,0,7
2024/1/3 12:00,愛知,名古屋,9.7,59,2.5,北北東,67.5,0,1,10-,1.18,1007.7,0.2,0,7.1
2024/1/3 13:00,愛知,名古屋,10.2,57,2.7,北北東,67.5,0,1,,0.99,1006,0.1,0,7.1
2024/1/3 14:00,愛知,名古屋,10.5,57,1.7,西北西,157.5,0,1,,0.65,1006,0,0,7.2
2024/1/3 15:00,愛知,名古屋,10,65,1,南西,225,0,0,10,0.19,1005.9,0,0,8
2024/1/3 16:00,愛知,名古屋,10.2,63,0.5,北東,45,0,1,,0.16,1006.2,0,0,7.8
2024/1/3 17:00,愛知,名古屋,9.8,66,1.2,東北東,22.5,0,1,,0.04,1006.1,0,0,8
2024/1/3 18:00,愛知,名古屋,9.2,72,0.5,北北東,67.5,0,0,10,0,1006.1,0,1,8.4
2024/1/3 19:00,愛知,名古屋,9.3,73,1.5,北西,135,0,0,,0,1006,0,1,8.6
2024/1/3 20:00,愛知,名古屋,8.7,78,1.8,北北西,112.5,0,0,,0,1005.8,0,1,8.8
2024/1/3 21:00,愛知,名古屋,8.3,81,1,北西,135,0,0,10,0,1005.7,0,1,8.9
2024/1/3 22:00,愛知,名古屋,8,89,0.2,静穏,0,0.5,0,,0,1005.1,0,1,9.5
2024/1/3 23:00,愛知,名古屋,8,94,0.8,南,270,0,0,,0,1004.8,0,1,10.1
2024/1/4 0:00,愛知,名古屋,7.9,92,0.7,南南西,247.5,0.5,0,,0,1004.1,0,1,9.8
2024/1/4 1:00,愛知,名古屋,7.8,90,0.9,西南西,202.5,0,0,,0,1004,0,1,9.5
2024/1/4 2:00,愛知,名古屋,7.5,92,1.1,北,90,0,0,,0,1004,0,1,9.5
2024/1/4 3:00,愛知,名古屋,7.1,94,1.4,北北西,112.5,0,1,9,0,1003.6,0,1,9.5
2024/1/4 4:00,愛知,名古屋,7.3,93,1.4,北北東,67.5,0,1,,0,1003.4,0,1,9.5
2024/1/4 5:00,愛知,名古屋,8,84,2.9,北,90,0,1,,0,1003.3,0,1,9
2024/1/4 6:00,愛知,名古屋,7.4,88,1.9,北西,135,0,1,8,0,1004.2,0,1,9.1
2024/1/4 7:00,愛知,名古屋,7.1,86,4.8,北西,135,0,0,,0,1005.1,0,1,8.7
2024/1/4 8:00,愛知,名古屋,7.5,80,5,西北西,157.5,0,1,,0.19,1006.2,0.5,0,8.3
2024/1/4 9:00,愛知,名古屋,8.8,74,4.4,北北西,112.5,0,1,5,0.7,1007.7,0.9,0,8.4
2024/1/4 10:00,愛知,名古屋,10.7,62,4.8,北,90,0,1,,1.4,1008.5,1,0,8
2024/1/4 11:00,愛知,名古屋,12.3,48,5.2,北北西,112.5,0,1,,1.84,1008.7,1,0,6.9
2024/1/4 12:00,愛知,名古屋,13.5,43,4.9,北北西,112.5,0,1,1,2.06,1008.5,1,0,6.7
2024/1/4 13:00,愛知,名古屋,14.5,37,5.1,北西,135,0,1,,2.03,1008,1,0,6.1
2024/1/4 14:00,愛知,名古屋,14.3,35,6.1,北西,135,0,1,,1.83,1008.3,1,0,5.7
2024/1/4 15:00,愛知,名古屋,13.3,32,7.6,北西,135,0,1,1,1.39,1009.2,1,0,4.9
2024/1/4 16:00,愛知,名古屋,12.4,31,6.3,北北西,112.5,0,1,,0.8,1010,1,0,4.5
2024/1/4 17:00,愛知,名古屋,11,37,6.4,北西,135,0,1,,0.19,1011.4,0.7,0,4.9
2024/1/4 18:00,愛知,名古屋,10.2,41,3.4,北,90,0,1,0+,0,1013,0,1,5.1
2024/1/4 19:00,愛知,名古屋,8.9,47,3.5,北北西,112.5,0,1,,0,1014,0,1,5.4
2024/1/4 20:00,愛知,名古屋,8.4,52,2.7,西北西,157.5,0,1,,0,1014.9,0,1,5.7
2024/1/4 21:00,愛知,名古屋,7.9,55,1.7,北北西,112.5,0,1,0+,0,1015,0,1,5.9
2024/1/4 22:00,愛知,名古屋,7,59,2.1,北北東,67.5,0,1,,0,1014.8,0,1,5.9
2024/1/4 23:00,愛知,名古屋,6.4,60,2,北東,45,0,1,,0,1014.9,0,1,5.8
2024/1/5 0:00,愛知,名古屋,5.2,66,1.6,北,90,0,1,,0,1014.8,0,1,5.8
2024/1/5 1:00,愛知,名古屋,4.5,71,2.3,北,90,0,1,,0,1015.3,0,1,6
2024/1/5 2:00,愛知,名古屋,3.5,76,1.5,北,90,0,1,,0,1015.7,0,1,6
2024/1/5 3:00,愛知,名古屋,3,76,2.4,北東,45,0,1,0,0,1015.6,0,1,5.8
2024/1/5 4:00,愛知,名古屋,3.3,73,1.4,北,90,0,1,,0,1015.5,0,1,5.7
2024/1/5 5:00,愛知,名古屋,2.6,78,1.3,北西,135,0,1,,0,1015.5,0,1,5.7
2024/1/5 6:00,愛知,名古屋,2.1,80,1.7,北北西,112.5,0,1,0+,0,1016.1,0,1,5.7
2024/1/5 7:00,愛知,名古屋,1.3,84,1.5,北北西,112.5,0,1,,0,1016.5,0,1,5.6
2024/1/5 8:00,愛知,名古屋,2.4,79,1,北,90,0,1,,0.22,1016.8,0.8,0,5.7
2024/1/5 9:00,愛知,名古屋,4.3,72,1,北,90,0,1,0+,0.85,1017.1,1,0,6
2024/1/5 10:00,愛知,名古屋,7.4,61,1.3,北,90,0,1,,1.43,1016.9,1,0,6.3
2024/1/5 11:00,愛知,名古屋,9.2,49,1.6,北,90,0,1,,1.86,1016,1,0,5.7
2024/1/5 12:00,愛知,名古屋,10.1,46,1,北北西,112.5,0,1,0+,2.09,1015.3,1,0,5.7
2024/1/5 13:00,愛知,名古屋,11.9,46,1.8,北北西,112.5,0,1,,2.08,1014.2,1,0,6.4
2024/1/5 14:00,愛知,名古屋,12,44,1.8,北西,135,0,1,,1.83,1013.4,1,0,6.2
2024/1/5 15:00,愛知,名古屋,12.5,44,2.4,西,180,0,1,0+,1.38,1013.2,1,0,6.4
2024/1/5 16:00,愛知,名古屋,11.7,45,0.9,北北西,112.5,0,1,,0.78,1013.5,1,0,6.2
2024/1/5 17:00,愛知,名古屋,10.5,52,1.4,北北西,112.5,0,1,,0.18,1013.5,0.7,0,6.6
2024/1/5 18:00,愛知,名古屋,9.2,59,0.9,西,180,0,1,0+,0,1013.7,0,1,6.9
2024/1/5 19:00,愛知,名古屋,8,65,0.7,東,0,0,1,,0,1013.9,0,1,7
2024/1/5 20:00,愛知,名古屋,7.6,67,0.8,東北東,22.5,0,1,,0,1013.7,0,1,7
2024/1/5 21:00,愛知,名古屋,7.2,71,2,北東,45,0,1,1,0,1013.7,0,1,7.2
2024/1/5 22:00,愛知,名古屋,6.2,76,1.3,南東,315,0,1,,0,1014.1,0,1,7.2
2024/1/5 23:00,愛知,名古屋,5.9,78,3.3,東北東,22.5,0,1,,0,1013.8,0,1,7.2
2024/1/6 0:00,愛知,名古屋,5.8,77,2.5,東北東,22.5,0,1,,0,1013.6,0,1,7.1
2024/1/6 1:00,愛知,名古屋,5.5,79,3.4,東北東,22.5,0,1,,0,1013.2,0,1,7.1
2024/1/6 2:00,愛知,名古屋,5.3,79,2.4,北東,45,0,1,,0,1013.1,0,1,7
2024/1/6 3:00,愛知,名古屋,4.6,82,1.2,東北東,22.5,0,1,8,0,1012.8,0,1,7
2024/1/6 4:00,愛知,名古屋,4.2,82,1.5,北,90,0,1,,0,1012.5,0,1,6.8
2024/1/6 5:00,愛知,名古屋,4.1,84,1,東,0,0,1,,0,1012.4,0,1,6.9
2024/1/6 6:00,愛知,名古屋,3.1,88,0.6,北北東,67.5,0,1,3,0,1012.6,0,1,6.7
2024/1/6 7:00,愛知,名古屋,3.6,86,1.8,北東,45,0,1,,0,1012.1,0,1,6.8
2024/1/6 8:00,愛知,名古屋,4.5,83,1.2,北西,135,0,1,,0.17,1012.5,0.6,0,7
2024/1/6 9:00,愛知,名古屋,6.2,75,1.4,北,90,0,1,1,0.73,1012.5,1,0,7.1
2024/1/6 10:00,愛知,名古屋,7.9,69,0.8,東北東,22.5,0,1,,1.04,1012,0.6,0,7.4
2024/1/6 11:00,愛知,名古屋,10.3,61,2.2,北,90,0,1,,1.72,1010.9,0.9,0,7.6
2024/1/6 12:00,愛知,名古屋,11.5,57,1.1,北,90,0,1,6,1.8,1009.8,0.9,0,7.7
2024/1/6 13:00,愛知,名古屋,12.6,56,1,北西,135,0,1,,0.97,1008.9,0.2,0,8.2
2024/1/6 14:00,愛知,名古屋,12.4,56,1.4,北西,135,0,1,,0.39,1008.4,0,0,8.1
2024/1/6 15:00,愛知,名古屋,12.2,59,1.6,北北西,112.5,0,1,10-,0.49,1008.1,0.1,0,8.4
2024/1/6 16:00,愛知,名古屋,11.5,69,2.9,北北東,67.5,0,0,,0.29,1007.8,0.3,0,9.4
2024/1/6 17:00,愛知,名古屋,10.6,74,2.6,北北西,112.5,0,1,,0.14,1008.2,0.4,0,9.5
2024/1/6 18:00,愛知,名古屋,9.9,75,3,北,90,0,1,6,0,1008.2,0,1,9.1
2024/1/6 19:00,愛知,名古屋,9.1,81,1.4,北,90,0,1,,0,1008.3,0,1,9.4
2024/1/6 20:00,愛知,名古屋,8.8,84,1.6,北北西,112.5,0,1,,0,1008.4,0,1,9.5
2024/1/6 21:00,愛知,名古屋,8.8,88,1.3,西北西,157.5,0,0,10,0,1008.2,0,1,10
2024/1/6 22:00,愛知,名古屋,8.5,91,1.3,北,90,0,1,,0,1007.7,0,1,10.1
2024/1/6 23:00,愛知,名古屋,9,85,2.1,西北西,157.5,0,0,,0,1008,0,1,9.8
2024/1/7 0:00,愛知,名古屋,8.7,87,1.2,西,180,0,0,,0,1007.6,0,1,9.8
2024/1/7 1:00,愛知,名古屋,8.7,71,5.2,西北西,157.5,0,1,,0,1007.5,0,1,8
2024/1/7 2:00,愛知,名古屋,8.6,64,4.5,西北西,157.5,0,1,,0,1007.8,0,1,7.2
2024/1/7 3:00,愛知,名古屋,8.5,57,4.8,西北西,157.5,0,1,10-,0,1007.7,0,1,6.3
2024/1/7 4:00,愛知,名古屋,7.2,51,7.5,西北西,157.5,0,1,,0,1007.2,0,1,5.2
2024/1/7 5:00,愛知,名古屋,5.9,63,4.9,西北西,157.5,0,1,,0,1006.8,0,1,5.9
2024/1/7 6:00,愛知,名古屋,5.7,65,3.5,西北西,157.5,0,1,0+,0,1007.2,0,1,6
2024/1/7 7:00,愛知,名古屋,5.4,68,3.5,北北西,112.5,0,1,,0,1007.6,0,1,6.1
2024/1/7 8:00,愛知,名古屋,5.7,65,3.7,北北西,112.5,0,1,,0.22,1008.1,0.8,0,6
2024/1/7 9:00,愛知,名古屋,7.2,58,4.1,北北西,112.5,0,1,4,0.86,1008.3,1,0,5.9
2024/1/7 10:00,愛知,名古屋,7.8,58,4.7,西,180,0,1,,1.36,1008.4,0.9,0,6.1
2024/1/7 11:00,愛知,名古屋,8.1,59,3.6,西北西,157.5,0,1,,1.13,1007.8,0.4,0,6.4
2024/1/7 12:00,愛知,名古屋,9.3,50,5.3,北西,135,0,1,6,2.16,1006.8,1,0,5.9
2024/1/7 13:00,愛知,名古屋,8.1,56,6.7,北西,135,0,1,,0.81,1006.1,0.2,0,6
2024/1/7 14:00,愛知,名古屋,8.5,51,7.7,北西,135,0,1,,1.37,1005.4,0.6,0,5.7
2024/1/7 15:00,愛知,名古屋,8.8,47,8,北西,135,0,1,3,1.18,1005.5,0.7,0,5.3
2024/1/7 16:00,愛知,名古屋,7.5,51,7.8,北西,135,0,1,,0.58,1006.1,0.5,0,5.3
2024/1/7 17:00,愛知,名古屋,7,51,4.6,北西,135,0,1,,0.09,1006.4,0,0,5.1
2024/1/7 18:00,愛知,名古屋,5.9,59,5.8,北北西,112.5,0,1,4,0,1007,0,1,5.5
2024/1/7 19:00,愛知,名古屋,5.5,59,8.3,北西,135,0,1,,0,1007.6,0,1,5.3
2024/1/7 20:00,愛知,名古屋,4.3,67,8.2,西北西,157.5,0,1,,0,1008,0,1,5.6
2024/1/7 21:00,愛知,名古屋,3.2,79,7.1,西北西,157.5,0,0,9,0,1008.4,0,1,6.1
2024/1/7 22:00,愛知,名古屋,2.8,80,9.6,西北西,157.5,0,0,,0,1008.8,0,1,6
2024/1/7 23:00,愛知,名古屋,2,89,6.3,西北西,157.5,0,0,,0,1009,0,1,6.3
2024/1/8 0:00,愛知,名古屋,1.6,94,5.8,西北西,157.5,0,0,,0,1009.4,0,1,6.4
